Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,27599880;-78,53412990;23;HOMBRE;EXTRAVIADA;DETENIDO;23/3/2023;ENCONTRADO;25/3/2023
COTOPAXI;-0,72862596;-78,63544717;19;MUJER;FALLECIDO;NO DETERMINADA;25/2/2023;FALLECIDO;9/3/2023
PICHINCHA;-0,21173805;-78,51067453;11;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/8/2023;ENCONTRADO;6/8/2023
CHIMBORAZO;-1,67819122;-78,65612133;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/5/2023;ENCONTRADO;20/5/2023
MANABI;-0,26906893;-79,43365019;22;HOMBRE;FALLECIDO;NO DETERMINADA;17/6/2023;FALLECIDO;21/7/2023
LOS RIOS;-0,99476830;-79,46832790;24;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;26/2/2023;ENCONTRADO;3/3/2023
LOS RIOS;-1,05254294;-79,46572900;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/2/2023;ENCONTRADO;1/3/2023
LOS RIOS;-1,76786721;-79,58007152;21;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/4/2023;ENCONTRADO;18/4/2023
AZUAY;-2,90030984;-79,04157130;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/1/2023;ENCONTRADO;2/3/2023
PICHINCHA;-0,27976770;-78,51496910;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/2/2023;ENCONTRADO;23/2/2023
PASTAZA;-1,49140142;-78,00764250;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/5/2023;ENCONTRADO;22/5/2023
PICHINCHA;-0,27776874;-78,58359276;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/4/2023;ENCONTRADO;27/4/2023
SANTO DOMINGO DE LOS TSACHILAS;0,00916720;-79,39160500;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/3/2023;ENCONTRADO;26/3/2023
SANTA ELENA;-2,24882600;-80,92807600;15;MUJER;SIN_DATO;SIN_DATO;1/3/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,08290400;-79,75142700;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/5/2023;ENCONTRADO;20/5/2023
CHIMBORAZO;-1,66208570;-78,65890050;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/7/2023;ENCONTRADO;3/8/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,22558050;-79,19040650;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/3/2023;ENCONTRADO;26/3/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23633103;-79,09229309;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/3/2023;ENCONTRADO;27/3/2023
LOJA;-3,98261168;-79,20442924;11;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;26/2/2023;ENCONTRADO;19/4/2023
LOJA;-4,26107322;-79,22249959;76;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;7/4/2023;ENCONTRADO;17/4/2023
EL ORO;-3,24514724;-79,96794070;11;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;5/9/2023;ENCONTRADO;6/9/2023
GUAYAS;-1,86178080;-79,97822680;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;1/3/2023;ENCONTRADO;2/3/2023
IMBABURA;0,22571782;-78,26141973;40;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;20/4/2023;ENCONTRADO;8/6/2023
PICHINCHA;-0,22042510;-78,52499000;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/5/2023;ENCONTRADO;23/5/2023
GUAYAS;-2,18876220;-79,89264150;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/7/2023;ENCONTRADO;10/7/2023
MANABI;-0,02467030;-79,96682640;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;31/8/2023;ENCONTRADO;6/9/2023
GUAYAS;-2,09807267;-79,69579163;50;HOMBRE;FALLECIDO;ASESINATO;16/5/2023;FALLECIDO;20/5/2023
GUAYAS;-2,25639407;-79,87509022;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/6/2023;ENCONTRADO;27/6/2023
MORONA SANTIAGO;-2,30827515;-78,12207657;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;20/5/2023;ENCONTRADO;23/5/2023
CHIMBORAZO;-2,19409487;-78,84655463;38;HOMBRE;FALLECIDO;ACCIDENTAL;26/3/2023;FALLECIDO;18/4/2023
BOLIVAR;-1,61407548;-79,01356132;36;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;9/5/2023;ENCONTRADO;23/5/2023
ESMERALDAS;0,93239126;-79,66210127;64;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;22/6/2023;ENCONTRADO;14/7/2023
PICHINCHA;-0,09713332;-78,45478352;19;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;19/6/2023;ENCONTRADO;19/6/2023
PICHINCHA;-0,21814730;-78,51371490;36;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;9/5/2023;ENCONTRADO;1/6/2023
MORONA SANTIAGO;-2,38800691;-78,10581245;57;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/5/2023;ENCONTRADO;24/7/2023
BOLIVAR;-1,61407548;-79,01356132;6;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;9/5/2023;ENCONTRADO;23/5/2023
PICHINCHA;0,11666700;-79,26666700;27;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;16/1/2023;ENCONTRADO;18/5/2023
PICHINCHA;-0,09396263;-78,45072326;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/3/2023;ENCONTRADO;25/3/2023
GUAYAS;-2,18266810;-79,85467440;7;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/3/2023;ENCONTRADO;26/3/2023
CHIMBORAZO;-2,19527482;-78,84604899;27;HOMBRE;FALLECIDO;ACCIDENTAL;26/3/2023;FALLECIDO;4/5/2023
TUNGURAHUA;-1,25190432;-78,62526278;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/4/2023;ENCONTRADO;19/4/2023
PICHINCHA;-0,18844957;-78,51426266;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/6/2023;ENCONTRADO;25/6/2023
ORELLANA;-0,46167280;-76,99310740;20;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;21/5/2023;ENCONTRADO;23/5/2023
PICHINCHA;-0,10750936;-78,50474055;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/2/2023;ENCONTRADO;26/2/2023
CHIMBORAZO;-1,65212500;-78,67531360;68;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;24/3/2023;ENCONTRADO;25/3/2023
AZUAY;-2,90214221;-79,03990388;27;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;28/2/2023;ENCONTRADO;3/3/2023
TUNGURAHUA;-1,33429040;-78,64285690;49;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/2/2023;ENCONTRADO;2/3/2023
GUAYAS;-1,43333089;-79,91073619;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/3/2023;ENCONTRADO;25/3/2023
TUNGURAHUA;-1,27541416;-78,62996533;41;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;18/4/2023;ENCONTRADO;19/4/2023
AZUAY;-2,92245060;-79,03860670;50;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;6/4/2023;ENCONTRADO;19/4/2023
EL ORO;-3,25974182;-79,95338917;30;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;SINDROME DE DOWN ;23/3/2023;ENCONTRADO;25/3/2023
MORONA SANTIAGO;-2,45662850;-78,16784390;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/9/2023;ENCONTRADO;7/9/2023
GUAYAS;-2,18941280;-79,88906620;69;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/3/2023;ENCONTRADO;23/5/2023
MANABI;-0,27070470;-79,46554896;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;9/4/2023;ENCONTRADO;19/4/2023
ORELLANA;-0,46167280;-76,99310740;14;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;12/5/2023;ENCONTRADO;23/5/2023
AZUAY;-2,92715011;-78,97315290;22;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/2/2023;ENCONTRADO;3/3/2023
SUCUMBIOS;-0,18451420;-76,63985252;15;MUJER;PROBLEMAS ACADÉMICOS;BULLYING (MALTRATO ESCOLAR);17/4/2023;ENCONTRADO;19/4/2023
GUAYAS;-2,24380910;-79,90667630;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/5/2023;ENCONTRADO;20/5/2023
GUAYAS;-2,19281792;-79,89555014;78;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/8/2023;ENCONTRADO;9/9/2023
ESMERALDAS;0,93366257;-79,67095305;60;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;19/5/2023;ENCONTRADO;23/5/2023
CHIMBORAZO;-1,66939212;-78,64259110;26;MUJER;SIN_DATO;SIN_DATO;14/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,13306200;-78,46829470;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/3/2023;ENCONTRADO;28/3/2023
GUAYAS;-2,16901920;-79,80584070;27;HOMBRE;EXTRAVIADA;HOSPITALIZADO;13/4/2023;ENCONTRADO;19/4/2023
GUAYAS;-2,08760170;-79,92559830;21;HOMBRE;SIN_DATO;SIN_DATO;1/9/2023;DESAPARECIDO;SIN_DATO
LOJA;-3,94223200;-79,22932100;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;9/3/2023;ENCONTRADO;23/3/2023
PICHINCHA;-0,28751150;-78,56118440;7;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;17/2/2023;ENCONTRADO;2/3/2023
EL ORO;-3,48192495;-80,21885779;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/4/2023;ENCONTRADO;20/4/2023
PICHINCHA;-0,28751150;-78,56118440;48;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;17/2/2023;ENCONTRADO;2/3/2023
PICHINCHA;-0,14767400;-78,49444190;53;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/4/2023;ENCONTRADO;19/4/2023
EL ORO;-3,26217760;-79,94784180;38;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;26/2/2023;ENCONTRADO;3/3/2023
PICHINCHA;-0,12240860;-78,46524830;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/5/2023;ENCONTRADO;22/5/2023
EL ORO;-3,26379180;-79,97098270;3;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;29/9/2023;ENCONTRADO;3/10/2023
GUAYAS;-2,13095550;-79,93809840;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/4/2023;ENCONTRADO;20/4/2023
AZUAY;-2,88468722;-79,00646210;17;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/2/2023;ENCONTRADO;2/3/2023
PICHINCHA;-0,33016260;-78,45107290;23;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/3/2023;ENCONTRADO;25/3/2023
SANTO DOMINGO DE LOS TSACHILAS;0,00916720;-79,39160500;14;MUJER;SIN_DATO;SIN_DATO;29/6/2023;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-1,69690114;-78,62404836;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/4/2023;ENCONTRADO;18/4/2023
LOS RIOS;-1,02251240;-79,46040350;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/5/2023;ENCONTRADO;21/5/2023
ESMERALDAS;0,31100597;-79,46960449;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/4/2023;ENCONTRADO;13/4/2023
AZUAY;-2,89628420;-79,03342880;18;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/5/2023;ENCONTRADO;23/5/2023
COTOPAXI;-0,89500292;-78,61135004;22;MUJER;FALLECIDO;ASESINATO;13/6/2023;FALLECIDO;22/6/2023
PICHINCHA;-0,29170906;-78,39601248;40;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;3/3/2023;ENCONTRADO;5/3/2023
GUAYAS;-2,18941280;-79,88906620;35;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/3/2023;ENCONTRADO;3/3/2023
CARCHI;0,82939769;-77,70315855;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/2/2023;ENCONTRADO;28/2/2023
COTOPAXI;-0,68263170;-78,63419960;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/3/2023;ENCONTRADO;25/3/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,21497684;-79,17282781;53;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;18/5/2023;ENCONTRADO;19/5/2023
GUAYAS;-2,23232037;-79,92279053;25;MUJER;PROBLEMAS SOCIALES;DROGADICCION;13/2/2023;ENCONTRADO;3/3/2023
GUAYAS;-2,21298830;-79,92312270;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/3/2023;ENCONTRADO;21/3/2023
GUAYAS;-2,05608620;-79,99504257;20;HOMBRE;SIN_DATO;SIN_DATO;6/9/2023;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,75529553;-78,68157693;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/3/2023;ENCONTRADO;26/3/2023
PICHINCHA;-0,10541460;-78,52914650;25;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/4/2023;ENCONTRADO;20/4/2023
COTOPAXI;-0,68330290;-78,63468571;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/4/2023;ENCONTRADO;19/4/2023
MANABI;0,01850992;-79,92891401;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/5/2023;ENCONTRADO;18/5/2023
EL ORO;-3,25598960;-79,99479560;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/4/2023;ENCONTRADO;24/4/2023
NAPO;-1,04290569;-77,80229230;33;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/3/2023;ENCONTRADO;23/3/2023
PICHINCHA;-0,18838333;-78,50609426;27;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/3/2023;ENCONTRADO;5/3/2023
PICHINCHA;-0,13536144;-78,46759129;49;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/3/2023;ENCONTRADO;4/3/2023
GUAYAS;-2,26929730;-79,90211040;32;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;25/3/2023;ENCONTRADO;25/3/2023
GUAYAS;-2,18266810;-79,85467440;28;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/3/2023;ENCONTRADO;26/3/2023
PICHINCHA;-0,21047408;-78,39526064;69;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/3/2023;ENCONTRADO;4/3/2023
IMBABURA;0,28865510;-78,26823000;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/3/2023;ENCONTRADO;3/3/2023
PICHINCHA;-0,18895600;-78,50786770;16;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/3/2023;ENCONTRADO;3/3/2023
NAPO;-1,04243501;-77,79514038;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/2/2023;ENCONTRADO;26/3/2023
AZUAY;-2,86752260;-79,03782280;30;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/5/2023;ENCONTRADO;22/5/2023
PICHINCHA;-0,18148207;-78,50652493;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/3/2023;ENCONTRADO;4/3/2023
GUAYAS;-2,05011820;-79,95907550;29;HOMBRE;SIN_DATO;SIN_DATO;21/2/2023;DESAPARECIDO;SIN_DATO
NAPO;-1,00549640;-77,81629480;37;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/5/2023;ENCONTRADO;7/5/2023
EL ORO;-3,24612654;-79,93470224;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/8/2023;ENCONTRADO;7/9/2023
PICHINCHA;-0,29280603;-78,54926596;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/3/2023;ENCONTRADO;4/3/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26549522;-79,11955738;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/4/2023;ENCONTRADO;24/4/2023
PICHINCHA;0,01701660;-78,89853920;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/3/2023;ENCONTRADO;26/3/2023
EL ORO;-3,46575881;-79,96829293;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/3/2023;ENCONTRADO;4/3/2023
MORONA SANTIAGO;-3,40598911;-78,57586859;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/3/2023;ENCONTRADO;17/4/2023
MANABI;-1,55393220;-80,80455680;28;HOMBRE;SIN_DATO;SIN_DATO;3/9/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,12350736;-78,50422641;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/3/2023;ENCONTRADO;26/3/2023
GUAYAS;-2,11183270;-79,99549460;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/3/2023;ENCONTRADO;15/3/2023
TUNGURAHUA;-1,33680780;-78,57112314;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;1/4/2023;ENCONTRADO;12/4/2023
PICHINCHA;-0,25445020;-78,50644730;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/3/2023;ENCONTRADO;4/3/2023
AZUAY;-2,78034259;-78,75645925;15;HOMBRE;FALLECIDO;NO DETERMINADA;12/2/2023;FALLECIDO;2/3/2023
PICHINCHA;-0,21135980;-78,52136010;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/5/2023;ENCONTRADO;23/5/2023
PICHINCHA;-0,10818510;-78,45857230;33;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/2/2023;ENCONTRADO;3/3/2023
PICHINCHA;0,04253510;-78,14588040;60;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/2/2023;ENCONTRADO;16/2/2023
ESMERALDAS;0,86800710;-79,84648040;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/2/2023;ENCONTRADO;22/3/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26604910;-79,15844850;31;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;31/8/2023;ENCONTRADO;2/9/2023
MANABI;-1,30310322;-80,73266741;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;1/9/2023;ENCONTRADO;7/9/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25017930;-79,14389820;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/6/2023;ENCONTRADO;7/9/2023
PICHINCHA;-0,26103770;-78,53072360;35;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;22/5/2023;ENCONTRADO;24/5/2023
PICHINCHA;-0,21801770;-78,49615340;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/1/2023;ENCONTRADO;24/3/2023
PICHINCHA;-0,20230152;-78,48680141;25;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;4/3/2023;ENCONTRADO;4/3/2023
GUAYAS;-2,19597650;-79,91505320;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/3/2023;ENCONTRADO;20/3/2023
PICHINCHA;-0,28573198;-78,54230065;16;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;24/3/2023;ENCONTRADO;25/3/2023
MANABI;-0,96573266;-80,68624373;23;HOMBRE;SIN_DATO;SIN_DATO;13/6/2023;DESAPARECIDO;SIN_DATO
EL ORO;-3,25348599;-79,95343114;7;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;1/1/2023;ENCONTRADO;1/1/2023
CHIMBORAZO;-1,59445450;-78,76217040;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/2/2023;ENCONTRADO;4/3/2023
MORONA SANTIAGO;-3,28131700;-78,64575922;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/2/2023;ENCONTRADO;3/3/2023
PICHINCHA;-0,25095821;-78,54195792;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/3/2023;ENCONTRADO;26/3/2023
PICHINCHA;-0,28562110;-78,56504310;16;HOMBRE;PROBLEMAS SOCIALES;PANDILLAS;4/4/2023;ENCONTRADO;7/4/2023
PICHINCHA;-0,21882160;-78,51354890;71;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/5/2023;ENCONTRADO;22/5/2023
PICHINCHA;-0,31060180;-78,54623360;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/3/2023;ENCONTRADO;6/3/2023
AZUAY;-3,05101260;-78,79581940;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/4/2023;ENCONTRADO;26/4/2023
IMBABURA;0,33070447;-78,17096386;78;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;1/1/2023;ENCONTRADO;3/1/2023
LOJA;-4,00608005;-79,20841935;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/3/2023;ENCONTRADO;24/3/2023
EL ORO;-3,32273183;-79,80827998;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/1/2023;ENCONTRADO;2/1/2023
SUCUMBIOS;0,09281703;-76,88592375;33;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;10/5/2023;ENCONTRADO;16/5/2023
PICHINCHA;-0,36047170;-78,56324610;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;1/1/2023;ENCONTRADO;4/1/2023
PICHINCHA;-0,09539682;-78,48303048;28;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;6/1/2023;ENCONTRADO;8/1/2023
MANABI;-1,04863758;-80,48942490;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;3/1/2023;ENCONTRADO;5/1/2023
MORONA SANTIAGO;-2,30754679;-78,12044145;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/1/2023;ENCONTRADO;4/1/2023
PICHINCHA;-0,22535450;-78,50942930;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/3/2023;ENCONTRADO;3/3/2023
PICHINCHA;-0,00369490;-78,45021850;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/3/2023;ENCONTRADO;26/3/2023
TUNGURAHUA;-1,19452644;-78,63847375;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/4/2023;ENCONTRADO;14/4/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25390710;-79,17612310;21;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;5/9/2023;ENCONTRADO;6/9/2023
BOLIVAR;-1,80833099;-79,10103968;29;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/4/2023;ENCONTRADO;25/5/2023
LOS RIOS;-1,80237662;-79,53847021;48;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/3/2023;ENCONTRADO;14/3/2023
SUCUMBIOS;0,11278100;-76,87270800;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;4/1/2023
BOLIVAR;-1,59116910;-78,99903790;16;MUJER;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;3/1/2023;ENCONTRADO;4/1/2023
SUCUMBIOS;-0,19784689;-76,54499091;46;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;3/1/2023;ENCONTRADO;4/1/2023
PICHINCHA;-0,18498604;-78,51001997;94;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;3/1/2023;ENCONTRADO;3/1/2023
COTOPAXI;-1,05158147;-78,56984138;10;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/9/2023;ENCONTRADO;2/10/2023
PICHINCHA;-0,33187790;-78,52436290;38;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/3/2023;ENCONTRADO;10/3/2023
SANTA ELENA;-2,32629758;-80,89293476;14;MUJER;SIN_DATO;SIN_DATO;27/8/2023;DESAPARECIDO;SIN_DATO
NAPO;-0,99944470;-77,81062440;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/5/2023;ENCONTRADO;9/5/2023
GUAYAS;-2,17634700;-79,43663240;31;HOMBRE;SIN_DATO;SIN_DATO;14/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,16237290;-78,49035800;16;MUJER;PROBLEMAS ACADÉMICOS;BULLYING (MALTRATO ESCOLAR);3/1/2023;ENCONTRADO;3/1/2023
SUCUMBIOS;0,08240741;-76,90729807;22;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;13/5/2023;ENCONTRADO;16/5/2023
PICHINCHA;-0,10818510;-78,45857230;49;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;1/1/2023;ENCONTRADO;5/1/2023
